Node Label,Instance,Timestamp,CPU Utilization
node_label_1,instance_1,2025-02-11 00:00:00,6
node_label_1,instance_1,2025-02-11 00:05:00,9
node_label_1,instance_1,2025-02-11 00:10:00,7
node_label_1,instance_1,2025-02-11 00:15:00,4
node_label_1,instance_1,2025-02-11 00:20:00,5
node_label_1,instance_1,2025-02-11 00:25:00,3
node_label_1,instance_1,2025-02-11 00:30:00,5
node_label_1,instance_1,2025-02-11 00:35:00,7
node_label_1,instance_1,2025-02-11 00:40:00,8
node_label_1,instance_1,2025-02-11 00:45:00,8
node_label_1,instance_2,2025-02-11 00:00:00,8
node_label_1,instance_2,2025-02-11 00:05:00,6
node_label_1,instance_2,2025-02-11 00:10:00,6
node_label_1,instance_2,2025-02-11 00:15:00,5
node_label_1,instance_2,2025-02-11 00:20:00,8
node_label_1,instance_2,2025-02-11 00:25:00,3
node_label_1,instance_2,2025-02-11 00:30:00,9
node_label_1,instance_2,2025-02-11 00:35:00,7
node_label_1,instance_2,2025-02-11 00:40:00,7
node_label_1,instance_2,2025-02-11 00:45:00,6
node_label_2,instance_3,2025-02-11 00:00:00,8
node_label_2,instance_3,2025-02-11 00:05:00,8
node_label_2,instance_3,2025-02-11 00:10:00,6
node_label_2,instance_3,2025-02-11 00:15:00,5
node_label_2,instance_3,2025-02-11 00:20:00,3
node_label_2,instance_3,2025-02-11 00:25:00,3
node_label_2,instance_3,2025-02-11 00:30:00,6
node_label_2,instance_3,2025-02-11 00:35:00,7
node_label_2,instance_3,2025-02-11 00:40:00,7
node_label_2,instance_3,2025-02-11 00:45:00,3
node_label_2,instance_4,2025-02-11 00:00:00,7
node_label_2,instance_4,2025-02-11 00:05:00,7
node_label_2,instance_4,2025-02-11 00:10:00,4
node_label_2,instance_4,2025-02-11 00:15:00,7
node_label_2,instance_4,2025-02-11 00:20:00,6
node_label_2,instance_4,2025-02-11 00:25:00,3
node_label_2,instance_4,2025-02-11 00:30:00,3
node_label_2,instance_4,2025-02-11 00:35:00,8
node_label_2,instance_4,2025-02-11 00:40:00,8
node_label_2,instance_4,2025-02-11 00:45:00,4
